,Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western
0,Four Brothers,0.4656283566058002,0.4022140221402214,0.6666666666666666,0.7311827956989246,0.054,0.95,0.2,0.0,0.05,0.0,0.15,0.8,0.1,0.0,0.7,0.05,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0
1,The Adventures of Tintin,0.46885069817400643,0.3948339483394834,0.3333333333333333,0.7849462365591398,0.082,0.85,0.95,0.9,0.6,0.1,0.7,0.2,0.4,0.0,0.65,0.5,0.92,0.3,0.98,0.45,0.35,0.05,0.55,0.15,0.75,0.0,0.1,0.15,0.1,0.0,0.6,0.15,0.0
2,Green Lantern,0.46885069817400643,0.42066420664206644,0.16666666666666666,0.5913978494623655,0.1,0.75,0.6,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.4,0.2,0.1,0.8,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.0
3,Top Secret!,0.45435016111707843,0.33210332103321033,0.3333333333333333,0.7741935483870968,0.025,0.7,0.65,0.0,0.05,0.0,0.9,0.0,0.85,0.0,0.2,0.0,0.7,0.05,1.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
4,The Beastmaster,0.4532760472610097,0.4354243542435424,0.3333333333333333,0.6666666666666666,0.008666666666666666,0.85,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.6,0.7,0.95,1.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
5,Kong: Skull Island,0.47207303974221265,0.4354243542435424,0.3333333333333333,0.7204301075268816,0.119,0.95,0.92,0.0,0.15,0.01,0.05,0.02,0.0,0.0,0.2,0.75,0.1,0.65,0.98,0.1,0.0,0.4,0.1,0.0,0.25,0.0,0.02,0.0,0.0,0.0,0.6,0.05,0.0
6,Tag,0.47261009667024706,0.36900369003690037,0.6666666666666666,0.6989247311827956,0.050333333333333334,0.7,0.25,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0
7,Big Fat Liar,0.4640171858216971,0.3247232472324723,0.3333333333333333,0.5913978494623655,0.013666666666666667,0.05,0.1,0.0,0.05,0.0,0.9,0.0,0.15,0.0,0.1,0.0,0.85,0.05,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.75,0.0,0.0,0.05,0.0,0.0
8,Upgraded,0.4758324382384533,0.3837638376383764,0.6666666666666666,0.6559139784946235,0.009,0.95,0.0,0.0,0.1,0.0,0.05,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.8,0.0,0.9,0.0,0.0
9,The Chronicles of Narnia: Prince Caspian,0.4672395273899033,0.5535055350553506,0.3333333333333333,0.6989247311827956,0.07633333333333334,0.7,0.95,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.8,0.9,0.98,0.95,0.15,0.0,0.05,0.15,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0
10,Horrible Bosses,0.46885069817400643,0.36162361623616235,0.6666666666666666,0.7419354838709677,0.15833333333333333,0.1,0.0,0.0,0.05,0.0,0.95,0.15,0.85,0.0,0.2,0.0,0.1,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.15,0.0,0.05,0.0,0.0,0.0,0.25,0.0,0.0
11,Nacho Libre,0.46616541353383456,0.33948339483394835,0.3333333333333333,0.6344086021505376,0.032,0.2,0.3,0.0,0.1,0.0,0.85,0.05,0.6,0.0,0.4,0.0,0.7,0.25,1.0,0.0,0.05,0.0,0.45,0.55,0.0,0.0,0.05,0.2,0.0,0.15,0.0,0.0,0.0
