Title,Year,Duration,Rated,IMDB Rating,Number of Ratings,action,adventure,animation,art,biography,comedy,crime,dark comedy,documentary,drama,epic,family,fantasy,fiction,history,historical drama,horror,music,musical,mystery,noir,romance,romantic comedy,science fiction,sport,thriller,war,western,dark_comedy,historical_drama,romantic_comedy,science_fiction
Four Brothers,2005,1h 49m,R,6.8,162K,0.95,0.2,0.0,0.05,0.0,0.15,0.8,0.1,0.0,0.7,0.05,0.1,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.25,0.0,0.05,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
The Adventures of Tintin,2011,1h 47m,PG,7.3,246K,0.85,0.95,0.9,0.6,0.1,0.7,0.2,0.4,0.0,0.65,0.5,0.92,0.3,0.98,0.45,0.35,0.05,0.55,0.15,0.75,0.0,0.1,0.15,0.1,0.0,0.6,0.15,0.0,0.0,0.0,0.0,0.0
Green Lantern,2011,1h 54m,G,5.5,300K,0.75,0.6,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.4,0.2,0.1,0.8,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Top Secret!,1984,1h 30m,PG,7.2,75K,0.7,0.65,0.0,0.05,0.0,0.9,0.0,0.85,0.0,0.2,0.0,0.7,0.05,1.0,0.0,0.0,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
The Beastmaster,1982,1h 58m,PG,6.2,26K,0.85,0.9,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.2,0.6,0.7,0.95,1.0,0.0,0.0,0.15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
Kong: Skull Island,2017,1h 58m,PG,6.7,357K,0.95,0.92,0.0,0.15,0.01,0.05,0.02,0.0,0.0,0.2,0.75,0.1,0.65,0.98,0.1,0.0,0.4,0.1,0.0,0.25,0.0,0.02,0.0,0.0,0.0,0.6,0.05,0.0,0.02,0.05,0.0,0.55
Tag,2018,1h 40m,R,6.5,151K,0.7,0.25,0.0,0.05,0.0,0.9,0.0,0.0,0.0,0.4,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.75,0.0,0.1,0.0
Big Fat Liar,2002,1h 28m,PG,5.5,41K,0.05,0.1,0.0,0.05,0.0,0.9,0.0,0.15,0.0,0.1,0.0,0.85,0.05,1.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.05,0.75,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
Upgraded,2024,1h 44m,R,6.1,27K,0.95,0.0,0.0,0.1,0.0,0.05,0.1,0.0,0.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.8,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
The Chronicles of Narnia: Prince Caspian,2008,2h 30m,PG,6.5,229K,0.7,0.95,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.6,0.8,0.9,0.98,0.95,0.15,0.0,0.05,0.15,0.05,0.1,0.0,0.05,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.0,0.0
